Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Original Air Date,Industry,Business Description,Pitchers Gender,US Viewership,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of Sharks in Deal,Investment Amount Per Shark,Equity Per Shark,Royalty Deal,Barbara Corcoran Investment Amount,Barbara Corcoran Investment Equity,Mark Cuban Investment Amount,Mark Cuban Investment Equity,Lori Greiner Investment Amount,Lori Greiner Investment Equity,Robert Herjavec Investment Amount,Robert Herjavec Investment Equity,Daymond John Investment Amount,Daymond John Investment Equity,Kevin O Leary Investment Amount,Kevin O Leary Investment Equity,Guest Investment Amount,Guest Investment Equity,Guest Name,Barbara Corcoran Present,Mark Cuban Present,Lori Greiner Present,Robert Herjavec Present,Daymond John Present,Kevin O Leary Present,Guest Present,Has_Website,Barbara Corcoran Got Deal,Mark Cuban Got Deal,Lori Greiner Got Deal,Robert Herjavec Got Deal,Daymond John Got Deal,Kevin O Leary Got Deal
1,TurboBaster,3,11,2009-08-09,2009-08-23,Food and Beverage,TurboBaster - Kitchen Tools,Female,5.45,35000,35.0,100000,1,35000.0,100.0,35000.0,1.0,35000.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000.0,100.0,Kevin Harrington,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0
1,StressFreeKids,3,12,2009-08-09,2009-08-23,Children/Education,Stress Free Kids - Baby and Child Care,Female,5.45,250000,20.0,1250000,1,250000.0,50.0,500000.0,1.0,250000.0,50.0,0.0,250000.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0
1,KwyztaChopstickArt,3,13,2009-08-09,2009-08-23,Children/Education,Kwyzta Chopstick Art - Kitchen Tools,Male,5.45,100000,10.0,1000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0
1,50StateCapitalsin50Minutes,3,14,2009-08-09,2009-08-23,Children/Education,50 State Capitals in 50 Minutes - Education,Male,5.45,155000,10.0,1550000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0
1,VoyageAirGuitar,3,15,2009-08-09,2009-08-23,Media/Entertainment,Voyage Air Guitar - Music,Male,5.45,500000,5.0,10000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0
1,GiftCardRescue,4,16,2009-08-09,2009-08-30,Software/Tech,Gift Card Rescue - Online Services,Male,4.89,150000,30.0,500000,1,200000.0,50.0,400000.0,2.0,100000.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,25.0,0.0,0.0,100000.0,25.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,1
1,Coverplay,4,17,2009-08-09,2009-08-30,Children/Education,Coverplay - Baby and Child Care,Female,4.89,350000,15.0,2333333,1,35000.0,40.0,87500.0,1.0,35000.0,40.0,0.0,35000.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,0
1,GraffitiRemovalServices,4,18,2009-08-09,2009-08-30,Business Services,Graffiti Removal Services - Professional Services,Male,4.89,350000,15.0,2333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0
1,SoulsCalling,4,19,2009-08-09,2009-08-30,Fashion/Beauty,"Soul's Calling, Inc. - Women's Accessories",Female,4.89,150000,25.0,600000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0
1,CoffeeBrandGifts,4,20,2009-08-09,2009-08-30,Food and Beverage,Coffee Brand Gifts - Novelties,Male,4.89,300000,40.0,750000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0
1,MyTherapyJournal,5,21,2009-08-09,2009-09-06,Health/Wellness,My Therapy Journal - Online Services,Male,3.35,80000,20.0,400000,1,80000.0,51.0,156863.0,2.0,40000.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,25.5,0.0,0.0,40000.0,25.5,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,0,1,0,1
1,BodyJac,5,22,2009-08-09,2009-09-06,Fitness/Sports/Outdoors,Body Jac - Fitness Equipment,Male,3.35,180000,20.0,900000,1,180000.0,50.0,360000.0,1.0,180000.0,50.0,0.0,180000.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,1,0,0,0,0,0
1,GoodGriefCelebrations,5,23,2009-08-09,2009-09-06,Business Services,Good Grief Celebrations - Consumer Services,Female,3.35,50000,25.0,200000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,0,0
